Resultados:

uniform com p = 2

  K TREINO  TESTE
 -- ------ ------
  1  100.0   81.7
  3   91.9   85.9
  5   90.9   86.4
  7   90.6   86.6
  9   90.2   86.2
 11   90.1   86.6
 13   89.9   86.4
 15   89.7   85.9
 17   89.6   85.6
 19   89.4   85.9
 21   89.1   85.7
 23   89.1   85.5
 25   89.1   85.7
 27   89.1   85.5
 29   89.0   85.5
 31   89.0   85.3
 33   89.0   85.3
 35   88.9   85.1
 37   88.9   85.2
 39   88.8   85.1
 41   88.7   85.1
 43   88.7   84.8
 45   88.5   84.9
 47   88.5   84.7
 49   88.4   84.7

distance com p = 2

  K TREINO  TESTE
 -- ------ ------
  1  100.0   81.7
  3  100.0   86.0
  5  100.0   86.4
  7  100.0   86.6
  9  100.0   86.2
 11  100.0   86.7
 13  100.0   86.4
 15  100.0   86.0
 17  100.0   85.7
 19  100.0   85.9
 21  100.0   85.9
 23  100.0   85.8
 25  100.0   85.9
 27  100.0   85.8
 29  100.0   85.7
 31  100.0   85.5
 33  100.0   85.5
 35  100.0   85.1
 37  100.0   85.2
 39  100.0   85.1
 41  100.0   85.1
 43  100.0   85.0
 45  100.0   85.0
 47  100.0   85.0
 49  100.0   84.9

distance com p = 1

  K TREINO  TESTE
 -- ------ ------
  1  100.0   82.1
  3  100.0   86.0
  5  100.0   86.7
  7  100.0   86.7
  9  100.0   86.9
 11  100.0   87.1
 13  100.0   86.9
 15  100.0   87.2
 17  100.0   87.1
 19  100.0   87.0
 21  100.0   87.1
 23  100.0   86.9
 25  100.0   86.8
 27  100.0   86.5
 29  100.0   86.4
 31  100.0   86.6
 33  100.0   86.2
 35  100.0   86.1
 37  100.0   86.0
 39  100.0   85.9
 41  100.0   86.0
 43  100.0   85.9
 45  100.0   85.7
 47  100.0   85.7
 49  100.0   85.6

uniform com p = 1

  K TREINO  TESTE
 -- ------ ------
  1  100.0   82.1
  3   92.0   86.0
  5   91.1   86.7
  7   90.9   86.7
  9   90.8   86.9
 11   90.6   87.1
 13   90.6   86.9
 15   90.4   87.2
 17   90.1   87.1
 19   90.1   87.0
 21   89.9   87.0
 23   89.8   86.9
 25   89.7   86.8
 27   89.7   86.2
 29   89.6   86.0
 31   89.6   86.3
 33   89.5   85.9
 35   89.4   85.8
 37   89.4   85.9
 39   89.3   85.7
 41   89.1   85.8
 43   89.1   85.8
 45   88.8   85.5
 47   88.8   85.5
 49   88.8   85.4

Usando MinMaxScaler() com uniform com p = 1

  K TREINO  TESTE
 -- ------ ------
  1  100.0   85.7
  3   93.7   88.7
  5   92.5   87.2
  7   91.6   86.7
  9   90.8   86.5
 11   90.3   85.8
 13   90.0   86.0
 15   89.8   85.8
 17   89.1   86.0
 19   88.9   85.6
 21   88.6   85.5
 23   88.5   85.6
 25   88.4   85.7
 27   88.3   85.3
 29   88.1   85.3
 31   87.9   85.1
 33   87.8   85.1
 35   87.8   84.9
 37   87.7   84.8
 39   87.6   84.8
 41   87.5   84.7
 43   87.4   84.4
 45   87.2   84.2
 47   87.2   84.1
 49   87.1   84.1

Usando MinMaxScaler() com uniform com p = 1 e com
atributos_selecionados = [
    'account_length',
    'intl_plan',
    'voice_mail_plan',
    'number_vmail_messages',
    'total_day_minutes',
    'total_day_calls',
    'total_day_charge',
    'total_eve_minutes',
    'total_eve_calls',
    'total_eve_charge',
    'total_night_minutes',
    'total_night_calls',
    'total_night_charge',
    'total_intl_minutes',
    'total_intl_calls',
    'total_intl_charge',
    'number_customer_service_calls',
    #'area_code_408',
    #'area_code_415',
    #'area_code_510',
    'churned'
    ]


  K TREINO  TESTE
 -- ------ ------
  1  100.0   86.4
  3   94.4   88.2
  5   93.3   88.8
  7   92.8   88.6
  9   92.4   88.6
 11   92.1   88.3
 13   91.8   88.1
 15   91.4   87.7
 17   91.0   87.7
 19   90.5   87.5
 21   90.1   87.2
 23   90.2   86.9
 25   89.7   87.0
 27   89.7   86.6
 29   89.6   86.5
 31   89.5   86.1
 33   89.3   86.1
 35   89.2   85.8
 37   89.2   85.7
 39   89.1   85.6
 41   89.0   85.5
 43   88.8   85.4
 45   88.8   85.4
 47   88.7   85.5
 49   88.7   85.4

Usando MinMaxScaler() com uniform com p = 1 e com
atributos_selecionados = [
    #'account_length',
    'intl_plan',
    'voice_mail_plan',
    'number_vmail_messages',
    'total_day_minutes',
    #'total_day_calls',
    'total_day_charge',
    'total_eve_minutes',
    #'total_eve_calls',
    #'total_eve_charge',
    'total_night_minutes',
    #'total_night_calls',
    #'total_night_charge',
    #'total_intl_minutes',
    #'total_intl_calls',
    #'total_intl_charge',
    'number_customer_service_calls',
    #'area_code_408',
    #'area_code_415',
    #'area_code_510',
    'churned'
    ]

  K TREINO  TESTE
 -- ------ ------
  1  100.0   88.7
  3   95.2   90.4
  5   94.1   90.7 <-- MELHOR RESULTADO
  7   93.8   90.2
  9   93.6   90.4
 11   93.5   90.0
 13   93.2   90.2
 15   92.8   90.1
 17   92.9   90.0
 19   93.1   90.0
 21   92.8   90.1
 23   92.6   90.0
 25   92.2   89.6
 27   92.0   89.4
 29   92.1   89.1
 31   92.0   89.4
 33   91.8   89.2
 35   91.6   89.4
 37   91.5   89.3
 39   91.5   89.1
 41   91.5   88.9
 43   91.4   88.8
 45   91.4   88.9
 47   91.3   88.8
 49   91.2   88.8
